std_budget,budget_order,current_raw_inbound_records,current_valid_leads,current_assigned_leads,current_active_leads,current_stage_qualified_leads,current_valid_marketing_expected_lead_value,current_valid_lead_share,current_assigned_lead_share,current_active_lead_share,current_stage_qualified_lead_share,current_valid_expected_value_share,baseline_raw_inbound_records,baseline_valid_leads,baseline_assigned_leads,baseline_active_leads,baseline_stage_qualified_leads,baseline_valid_marketing_expected_lead_value,baseline_valid_lead_share,baseline_assigned_lead_share,baseline_active_lead_share,baseline_stage_qualified_lead_share,baseline_valid_expected_value_share,comparison_label,delta_raw_inbound_records,pct_delta_raw_inbound_records,delta_valid_leads,pct_delta_valid_leads,delta_assigned_leads,pct_delta_assigned_leads,delta_active_leads,pct_delta_active_leads,delta_stage_qualified_leads,pct_delta_stage_qualified_leads,delta_valid_marketing_expected_lead_value,pct_delta_valid_marketing_expected_lead_value,delta_valid_lead_share,pct_delta_valid_lead_share,delta_assigned_lead_share,pct_delta_assigned_lead_share,delta_active_lead_share,pct_delta_active_lead_share,delta_stage_qualified_lead_share,pct_delta_stage_qualified_lead_share,delta_valid_expected_value_share,pct_delta_valid_expected_value_share
I am looking for Talent to donate their time,1,511,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,last_year_same_dates,111,0.2775000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"$5,000 or less",2,542,1,0,0,0,2.6,0.001160092807424594,0.0,0.0,0.0,6.1166177399982005e-06,421,12,10,0,2,131.39999999999998,0.01606425702811245,0.01607717041800643,0.0,0.005194805194805195,0.0003557619203324516,last_year_same_dates,121,0.2874109263657958,-11,-0.9166666666666666,-10,-1.0,0,0.0,-2,-1.0,-128.79999999999998,-0.9802130898021308,-0.014904164220687854,-0.927784222737819,-0.01607717041800643,-1.0,0.0,0.0,-0.005194805194805195,-1.0,-0.00034964530259245336,-0.9828069914444965
"$5,000 - $10,000",3,301,157,132,30,53,34197.46,0.18213457076566125,0.191027496382055,0.19736842105263158,0.16772151898734178,0.08045107326879956,235,154,136,0,85,46912.38,0.20615796519410978,0.21864951768488747,0.0,0.22077922077922077,0.12701399083839954,last_year_same_dates,66,0.2808510638297872,3,0.01948051948051943,-4,-0.02941176470588236,30,0.0,-32,-0.3764705882352941,-12714.919999999998,-0.2710354921238274,-0.02402339442844853,-0.11652906258474705,-0.027622021302832478,-0.12633012684089562,0.19736842105263158,0.0,-0.05305770179187899,-0.24032017870439304,-0.046562917569599974,-0.36659676042178835
"$10,000 - $20,000",4,565,130,113,26,54,57816.36,0.15081206496519722,0.16353111432706222,0.17105263157894737,0.17088607594936708,0.13601560509158553,475,156,125,0,79,79459.32,0.20883534136546184,0.20096463022508038,0.0,0.2051948051948052,0.21513394422763155,last_year_same_dates,90,0.18947368421052624,-26,-0.16666666666666663,-12,-0.09599999999999997,26,0.0,-25,-0.31645569620253167,-21642.960000000006,-0.2723778658060503,-0.05802327640026461,-0.2778422273781902,-0.03743351589801816,-0.18626917510853835,0.17105263157894737,0.0,-0.034308729245438124,-0.1672007691075149,-0.07911833913604602,-0.36776315992390085
"$20,000 - $30,000",5,263,76,68,10,43,51112.28,0.08816705336426914,0.09840810419681621,0.06578947368421052,0.1360759493670886,0.12024395329990585,84,58,50,0,32,42826.62,0.07764390896921017,0.08038585209003216,0.0,0.08311688311688312,0.11595190694481113,last_year_same_dates,179,2.130952380952381,18,0.31034482758620685,18,0.3600000000000001,10,0.0,11,0.34375,8285.659999999996,0.19346985589803722,0.01052314439505897,0.13553084246739733,0.018022252106784056,0.2241968162083936,0.06578947368421052,0.0,0.052959066250205494,0.6371637658227849,0.004292046355094725,0.03701574616739656
"$30,000 - $50,000",6,211,79,57,10,24,73916.15000000001,0.09164733178654293,0.0824891461649783,0.06578947368421052,0.0759493670886076,0.17389109013937232,118,62,51,0,35,62311.76,0.08299866131191433,0.0819935691318328,0.0,0.09090909090909091,0.16870739267043264,last_year_same_dates,93,0.7881355932203389,17,0.27419354838709675,6,0.11764705882352944,10,0.0,-11,-0.3142857142857143,11604.390000000007,0.18623113839185423,0.008648670474628598,0.10420252975076716,0.0004955770331454973,0.00604409636502945,0.06578947368421052,0.0,-0.014959723820483314,-0.16455696202531644,0.00518369746893968,0.030725965157116564
"$50,000 - $100,000",7,116,66,48,11,25,48947.219999999994,0.0765661252900232,0.0694645441389291,0.07236842105263158,0.07911392405063292,0.11515055160599795,109,57,44,0,28,47547.5,0.07630522088353414,0.0707395498392283,0.0,0.07272727272727272,0.1287335609361282,last_year_same_dates,7,0.06422018348623859,9,0.1578947368421053,4,0.09090909090909083,11,0.0,-3,-0.1071428571428571,1399.719999999994,0.029438351122561546,0.000260904406489057,0.0034192209060934786,-0.0012750057002992032,-0.018023944217866017,0.07236842105263158,0.0,0.006386651323360193,0.08781645569620267,-0.01358300933013025,-0.10551257365489586
"$100,000 and above",8,249,59,40,10,14,50830.18,0.06844547563805105,0.05788712011577424,0.06578947368421052,0.04430379746835443,0.11958030027511606,166,45,37,0,25,32072.7,0.060240963855421686,0.0594855305466238,0.0,0.06493506493506493,0.0868359615087262,last_year_same_dates,83,0.5,14,0.3111111111111111,3,0.08108108108108114,10,0.0,-11,-0.43999999999999995,18757.48,0.5848425608071661,0.008204511782629362,0.13619489559164744,-0.001598410430849559,-0.02687057535103854,0.06578947368421052,0.0,-0.0206312674667105,-0.3177215189873417,0.03274433876638985,0.37708269935030714
"I have a budget, but I am unsure of what it is",9,517,271,210,52,89,103849.49,0.314385150812065,0.30390738060781475,0.34210526315789475,0.28164556962025317,0.24431062800914066,376,186,152,0,86,55888.50000000001,0.24899598393574296,0.24437299035369775,0.0,0.22337662337662337,0.15131659120624222,last_year_same_dates,141,0.375,85,0.456989247311828,58,0.381578947368421,52,0.0,3,0.03488372093023262,47960.99,0.8581548976980953,0.06538916687632201,0.2626113314871643,0.059534390254117,0.2436209916977683,0.34210526315789475,0.0,0.0582689462436298,0.26085516632322636,0.09299403680289844,0.6145660304767835
Unknown,10,28,23,23,3,14,4399.780000000001,0.02668213457076566,0.03328509406657019,0.019736842105263157,0.04430379746835443,0.010350681692342033,30,17,17,0,13,2197.95,0.022757697456492636,0.027331189710610933,0.0,0.033766233766233764,0.005950889747296135,last_year_same_dates,-2,-0.06666666666666665,6,0.3529411764705883,6,0.3529411764705883,3,0.0,1,0.07692307692307687,2201.830000000001,1.0017652812848339,0.0039244371142730244,0.17244438378599702,0.005953904355959255,0.21784285349450916,0.019736842105263157,0.0,0.010537563702120667,0.31207400194741974,0.004399791945045898,0.7393502706120545
I am looking for Talent to donate their time,1,511,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,533,1,1,0,0,0.0,0.0011363636363636363,0.0013280212483399733,0.0,0.0,0.0,prior_20_days,-22,-0.0412757973733584,-1,-1.0,-1,-1.0,0,0.0,0,0.0,0.0,0.0,-0.0011363636363636363,-1.0,-0.0013280212483399733,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
"$5,000 or less",2,542,1,0,0,0,2.6,0.001160092807424594,0.0,0.0,0.0,6.1166177399982005e-06,567,2,2,0,0,5.2,0.0022727272727272726,0.0026560424966799467,0.0,0.0,1.2693521585418894e-05,prior_20_days,-25,-0.04409171075837748,-1,-0.5,-2,-1.0,0,0.0,0,0.0,-2.6,-0.5,-0.0011126344653026787,-0.4895591647331786,-0.0026560424966799467,-1.0,0.0,0.0,0.0,0.0,-6.576903845420693e-06,-0.5181307489149121
"$5,000 - $10,000",3,301,157,132,30,53,34197.46,0.18213457076566125,0.191027496382055,0.19736842105263158,0.16772151898734178,0.08045107326879956,322,203,171,0,101,44099.82,0.23068181818181818,0.22709163346613545,0.0,0.24815724815724816,0.10765038790059382,prior_20_days,-21,-0.06521739130434778,-46,-0.22660098522167482,-39,-0.22807017543859653,30,0.0,-48,-0.4752475247524752,-9902.36,-0.22454422716464606,-0.04854724741615693,-0.21045112180403003,-0.03606413708408046,-0.15880874400182798,0.19736842105263158,0.0,-0.08043572916990638,-0.32413209675397914,-0.027199314631794258,-0.2526634149884398
"$10,000 - $20,000",4,565,130,113,26,54,57816.36,0.15081206496519722,0.16353111432706222,0.17105263157894737,0.17088607594936708,0.13601560509158553,451,153,133,2,75,64537.15,0.17386363636363636,0.17662682602921648,0.25,0.18427518427518427,0.15753917434354173,prior_20_days,114,0.2527716186252771,-23,-0.15032679738562094,-20,-0.15037593984962405,24,12.0,-21,-0.28,-6720.790000000001,-0.10413831413379737,-0.023051571398439136,-0.1325842015073624,-0.013095711702154261,-0.07414339031370043,-0.07894736842105263,-0.3157894736842105,-0.01338910832581719,-0.07265822784810128,-0.0215235692519562,-0.13662360071165724
"$20,000 - $30,000",5,263,76,68,10,43,51112.28,0.08816705336426914,0.09840810419681621,0.06578947368421052,0.1360759493670886,0.12024395329990585,135,70,61,2,36,46903.35,0.07954545454545454,0.08100929614873838,0.25,0.08845208845208845,0.11449397801028025,prior_20_days,128,0.9481481481481482,6,0.08571428571428563,7,0.11475409836065564,8,4.0,7,0.19444444444444442,4208.93,0.0897362341922272,0.008621598818814594,0.10838581372224065,0.017398808048077835,0.21477545016725585,-0.1842105263157895,-0.736842105263158,0.04762386091500016,0.5384142053445853,0.005749975289625606,0.050220766100985026
"$30,000 - $50,000",6,211,79,57,10,24,73916.15000000001,0.09164733178654293,0.0824891461649783,0.06578947368421052,0.0759493670886076,0.17389109013937232,2256,80,69,0,45,74860.44,0.09090909090909091,0.09163346613545817,0.0,0.11056511056511056,0.18273896366037615,prior_20_days,-2045,-0.9064716312056738,-1,-0.012499999999999956,-12,-0.17391304347826086,10,0.0,-21,-0.4666666666666667,-944.2899999999936,-0.01261400547472058,0.0007382408774520149,0.008120649651972123,-0.009144319970479875,-0.099792361416976,0.06578947368421052,0.0,-0.034615743476502966,-0.31308016877637124,-0.00884787352100383,-0.048418100572397704
"$50,000 - $100,000",7,116,66,48,11,25,48947.219999999994,0.0765661252900232,0.0694645441389291,0.07236842105263158,0.07911392405063292,0.11515055160599795,113,50,42,0,26,40789.35,0.056818181818181816,0.055776892430278883,0.0,0.06388206388206388,0.09956932590003964,prior_20_days,3,0.026548672566371723,16,0.32000000000000006,6,0.1428571428571428,11,0.0,-1,-0.038461538461538436,8157.869999999995,0.19999999999999996,0.019747943471841382,0.3475638051044083,0.01368765170865021,0.24540004134794313,0.07236842105263158,0.0,0.015231860168569034,0.2384371957156768,0.01558122570595831,0.15648620260421087
"$100,000 and above",8,249,59,40,10,14,50830.18,0.06844547563805105,0.05788712011577424,0.06578947368421052,0.04430379746835443,0.11958030027511606,280,41,32,1,16,35485.22,0.04659090909090909,0.04249667994687915,0.125,0.03931203931203931,0.08662161654487274,prior_20_days,-31,-0.11071428571428577,18,0.4390243902439024,8,0.25,9,9.0,-2,-0.125,15344.96,0.43243243243243246,0.021854566547141956,0.4690736234508517,0.01539044016889509,0.3621562952243127,-0.05921052631578948,-0.4736842105263158,0.0049917581563151195,0.12697784810126578,0.03295868373024331,0.38049028689241404
"I have a budget, but I am unsure of what it is",9,517,271,210,52,89,103849.49,0.314385150812065,0.30390738060781475,0.34210526315789475,0.28164556962025317,0.24431062800914066,542,265,227,3,98,100977.36,0.30113636363636365,0.301460823373174,0.375,0.24078624078624078,0.24649198053819507,prior_20_days,-25,-0.04612546125461259,6,0.02264150943396226,-17,-0.07488986784140972,49,16.333333333333332,-9,-0.09183673469387754,2872.1300000000047,0.0284433064995957,0.013248787175701326,0.043995972507989256,0.002446557234640767,0.008115672236495675,-0.032894736842105254,-0.08771929824561397,0.04085932883401239,0.1696912942392148,-0.002181352529054409,-0.008849588227136662
Unknown,10,28,23,23,3,14,4399.780000000001,0.02668213457076566,0.03328509406657019,0.019736842105263157,0.04430379746835443,0.010350681692342033,67,15,15,0,10,1999.9,0.017045454545454544,0.0199203187250996,0.0,0.02457002457002457,0.00488187958051524,prior_20_days,-39,-0.582089552238806,8,0.5333333333333334,8,0.5333333333333334,3,0.0,4,0.3999999999999999,2399.8800000000006,1.2000000000000002,0.009636680025311116,0.5653518948182521,0.013364775341470587,0.6709117221418235,0.019736842105263157,0.0,0.019733772898329862,0.8031645569620254,0.0054688021118267935,1.1202247047743872
